Activity,OccDensity,EQPLoad,SWHLoad,Schedule,Includes,Excludes,Fallback
undefined::common,0,0,0,*,undefined,,
washroom::common,30,1,0,*,washroom,,
atrium::common,10,2.5,0,*,atrium,,
concourse::retail,20,1,30,c,concourse,airport/terminal/transp,corridor::common
concourse::terminal,20,0,65,h,concourse,retail/mall,corridor::common
corridor::common,100,0,0,*,corr,manufacturing/health/hospital/clinic/outpatient,corridor::common
corridor::health,100,0,0,*,corr,manufacturing/common/other,corridor::common
corridor::manufacturing,100,0,0,*,corr,health/hospital/clinic/outpatient/common/other,corridor::common
stairway::common,200,0,0,*,stair,,
elevator::common,10,1,0,*c,elevator/foyer,,
lobby::common,10,1,0,*c,lobby,otel/motion/picture/cineplex/perform/art/theatre,lobby::common
lobby::hotel,10,2.5,30,h,lobby,motion/picture/cineplex/perform/art/theatre/common/other,lobby::common
lobby::cineplex,10,1,0,c,lobby,otel/perform/art/common/other,lobby::common
lobby::theatre,10,1,0,c,lobby,otel/motion/picture/cineplex/common/other,lobby::common
restoration::museum,20,5,50,a,restoration,,
exhibit::museum,5,2.5,60,c,exhibit,convention,exhibit::museum
exhibit::convention,10,2.5,30,c,exhibit,museum,exhibit::museum
baggage::terminal,20,2.5,65,h,baggage/carousel,,
counter::terminal,20,2.5,65,h,counter,,
seating::common,10,0,65,*,seating,airport/terminal/transp/audience,seating::common
seating::terminal,10,0,65,h,seating,general/common/other/audience,seating::common
refectory::religious,5,1,45,c,fellowship/refectory,,
pulpit::religious,5,1,15,i,pulpit/choir,,
chapel::religious,10,1,15,i,chapel,,seating::common
audience::common,5,1,15,*,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/arena,audience::common
audience::religious,5,1,15,i,audience,auditorium/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::penitentiary,5,2.5,30,c,audience,auditorium/religious/motion/picture/cineplex/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::cineplex,5,2.5,30,c,audience,auditorium/religious/penitentiary/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::theatre,7.5,2.5,30,*c,audience,auditorium/religious/penitentiary/motion/picture/cineplex/convention/gym/arena/common/other,audience::common
audience::convention,5,2.5,30,c,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/gym/arena/common/other,audience::common
audience::gym,5,0,30,*b,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/arena/common/other,audience::common
audience::arena,5,0,30,*b,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/common/other,audience::common
audience::auditorium,5,2.5,30,*c,audience,religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/arena,audience::common
c1::arena,5,1.5,90,*b,class 1/class I,,
c2::arena,5,1.5,90,*b,class 2/class II,,
c3::arena,5,1.5,90,*b,class 3/class III,,
c4::arena,5,1.5,90,*b,class 4/class IV,,
octogon::arena,5,1.5,90,*b,ring/octogon,manufacturing,court::gym
exercise::gym,5,1,90,*b,exercise/fitness,,
court::gym,5,1.5,90,*b,court/play/gym,class 1/class 2/class 3/class 4/class I/class II/class III/class IV/courthouse/courtroom/chambers/tribunal,court::gym
locker::common,10,2.5,0,*,locker,,
dressing::theatre,30,2.5,40,*c,dress/fitt,retail,dressing::retail
dressing::retail,30,2.5,40,c,dress/fitt,perform/art/theatre,dressing::retail
sales::common,30,2.5,40,c,sales,retail,sales::common
sales::retail,30,2.5,40,c,retail,dress/fitt/mall/concourse,sales::common
dining::common,10,1,120,*b,dining,penitentiary/leisure/lounge/bar/cafeteria/fast/family/restaurant/otel/lodging,dining::common
