material_id,Material,description,Size,Fuel,source,type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,comments,material_mult,labour_mult
1,GasLine,"Gas Line tubing with lightning protection 3/4""",0.75,,rs-means,Unit,180467,L.F.,,,,,,,,,,,1.0,1.0
2,GasLine,"Gas line fitting connection, flexible manifold with 4 ports (3/4 "" x 1/2"" x 1/2"" (4))",4,,rs-means,Unit,180468,each,,,,,,,,,,,1.0,1.0
3,OilLine,"Oil line with lightning protection 1""",1,,rs-means,Unit,180467,L.F.,,,,,,,,,,,1.0,1.0
4,OilLine,Oil filter 32 gph,32,,rs-means,Unit,180469,each,,,,,,,,,,,1.0,1.0
5,OilTanks,"Double steel wall above ground storage tank includig cradles, 2000 gallon (US) capacity",2000,,rs-means,Unit,180470,each,,,,,,,,,,,1.0,1.0
6,OilTanks,"Underground storage tank, steel, sti-P3, set in place, single wall, 1,000 gal cap, 7 ga. shell, excl. hold-down bars, excavation, pad pumps & piping",1000,,rs-means,Unit,180471,each,,,,,,,,,,,1.0,1.0
7,OilTanks,"Storage tank, horizontal, steel, above ground, single wall, 550 gallon, incl. cradles, coating & fittings, excl. foundation, pumps or piping",550,,rs-means,Unit,180472,each,,,,,,,,,,,1.0,1.0
8,OilTanks,Oil pump and motor 27 gph 1/3,27,,rs-means,Unit,180473,each,,,,,,,,,,,1.0,1.0
9,Valves,"Valves, brass, gas cocks, threaded, 3/4""",0.75,,rs-means,Unit,180474,each,,,,,,,,,,,1.0,1.0
10,ValvesGate,"Valves, bronze, gate, non-rising stem, soldered, 125 psi, 1-1/4""",1.25,,rs-means,Unit,180475,each,,,,,,,,,,,1.0,1.0
11,ValvesGate,"Valves, bronze, gate, non-rising stem, soldered, 125 psi, 1-1/2""",1.5,,rs-means,Unit,180476,each,,,,,,,,,,,1.0,1.0
12,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 3/4""",0.75,,rs-means,Unit,180477,each,,,,,,,,,,,1.0,1.0
13,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 1""",1,,rs-means,Unit,180478,each,,,,,,,,,,,1.0,1.0
14,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 1-1/4""",1.25,,rs-means,Unit,180479,each,,,,,,,,,,,1.0,1.0
15,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 2""",2,,rs-means,Unit,180480,each,,,,,,,,,,,1.0,1.0
16,ValvesPressure,"Valves, bronze, relief, pressure & temperature, self-closing, threaded, 3/4"", ASME",0.75,,rs-means,Unit,180481,each,,,,,,,,,,,1.0,1.0
17,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 2""",2,,rs-means,Unit,180482,each,,,,,,,,,,,1.0,1.0
18,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 2-1/2""",2.5,,rs-means,Unit,180483,each,,,,,,,,,,,1.0,1.0
19,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 4""",4,,rs-means,Unit,180484,each,,,,,,,,,,,1.0,1.0
20,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 2""",2,,rs-means,Unit,180485,each,,,,,,,,,,,1.0,1.0
21,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 2-1/2""",2.5,,rs-means,Unit,180486,each,,,,,,,,,,,1.0,1.0
22,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 4""",4,,rs-means,Unit,180487,each,,,,,,,,,,,1.0,1.0
23,ValvesBig,"Valves, cast iron body, multipurpose, functions as a shut off, balancing, check and metering valve, threaded, 2"" size",,,rs-means,Unit,180488,each,,,,,,,,,,,1.0,1.0
24,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1"" iron pipe size, includes 8 oz. canvas cover",1,,rs-means,Unit,180489,L.F.,,,,,,,,,,,1.0,1.0
25,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1-1/4"" iron pipe size, includes 8 oz. canvas cover",1.25,,rs-means,Unit,180490,L.F.,,,,,,,,,,,1.0,1.0
26,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1-1/2"" iron pipe size, includes 8 oz. canvas cover",1.6,,rs-means,Unit,180491,L.F.,,,,,,,,,,,1.0,1.0
27,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 3"" iron pipe size, includes 8 oz. canvas cover",3,,rs-means,Unit,180492,L.F.,,,,,,,,,,,1.0,1.0
28,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 3/4"" iron pipe size",0.75,,rs-means,Unit,180493,L.F.,,,,,,,,,,,1.0,1.0
29,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 1"" iron pipe size",1,,rs-means,Unit,180494,L.F.,,,,,,,,,,,1.0,1.0
30,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 1-1/4"" iron pipe size",1.25,,rs-means,Unit,180495,L.F.,,,,,,,,,,,1.0,1.0
31,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 1-1/2"" iron pipe size",1.5,,rs-means,Unit,180496,L.F.,,,,,,,,,,,1.0,1.0
32,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 2"" iron pipe size",2,,rs-means,Unit,180497,L.F.,,,,,,,,,,,1.0,1.0
33,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1"" wall, 2-1/2"" iron pipe size",2.5,,rs-means,Unit,180498,L.F.,,,,,,,,,,,1.0,1.0
34,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1-1/2"" wall, 2-1/2"" iron pipe size",2.5,,rs-means,Unit,180499,L.F.,,,,,,,,,,,1.0,1.0
35,PipeInsulation,"Insulation, pipe covering (price copper tube one size less than I.P.S.), fiberglass with all service jacket, 1-1/2"" wall, 4"" iron pipe size",4,,rs-means,Unit,180500,L.F.,,,,,,,,,,,1.0,1.0
36,PipeJacket,"Insulation, pipe covering (price copper tube one size less than I.P.S.), finishes, .016"" thick, for aluminum jacket, add",4,,rs-means,Unit,180501,L.F.,,,,,,,,,,,1.0,1.0
37,CopperPipe,"Pipe, copper, tubing, solder, 3/4"" diameter, type L, includes coupling & clevis hanger assembly 10' O.C.",0.75,,rs-means,Unit,180502,L.F.,,,,,,,,,,,1.0,1.0
38,CopperPipe,"Pipe, copper, tubing, solder, 1"" diameter, type L, includes coupling & clevis hanger assembly 10' O.C.",1,,rs-means,Unit,180503,L.F.,,,,,,,,,,,1.0,1.0
39,CopperPipe,"Pipe, copper, tubing, solder, 1-1/4"" diameter, type L, includes coupling & clevis hanger assembly 10' O.C.",1.25,,rs-means,Unit,180504,L.F.,,,,,,,,,,,1.0,1.0
40,CopperPipe,"Pipe, copper, tubing, solder, 1-1/2"" diameter, type L, includes coupling & clevis hanger assembly 10' O.C.",1.5,,rs-means,Unit,180505,L.F.,,,,,,,,,,,1.0,1.0
41,CopperPipe,"Pipe, copper, tubing, solder, 2"" diameter, type L, includes coupling & clevis hanger assembly 10' O.C.",2,,rs-means,Unit,180506,L.F.,,,,,,,,,,,1.0,1.0
