lighting_type_id,description,source,type,id,unit
1,0.5 metal conduit straps,rs-means,Unit,190211,Ea
2,"Rooftop channel support 1-5/8"" x 1-5/8"" 12gauge galvenized",rs-means,Unit,190212,Ea
3,"PVC Wiring duct snap-in slots 2"" x 1"" ",rs-means,Unit,190213,LF
4,Fixture Hanger 0.75 in diameter 6 ft long,rs-means,Unit,190214,Ea
10,Wire 600V #14 Stranded THWN-THHN,rs-means,Unit,190215,CLF
11,Wire 600V #12 in raceway,rs-means,Unit,190216,CLF
12,Wire 600V #10 in raceway,rs-means,Unit,190217,CLF
13,"Metal conduit. 0.5 in diamater, 11 coupling per 100 LF",rs-means,Unit,190218,LF
14,"Steel Outlet boxes, set flush in concrete 4 "" deep",rs-means,Unit,190219,Ea
15,"Steel Outlet boxes, on framing",rs-means,Unit,190220,Ea
16,"Steel Pull box NEMA 1 12"" x 12"" x4"" Type D",rs-means,Unit,190221,Ea
17,"1"" diameter Electrical non-metallic conduit (PVC conduit)",rs-means,Unit,190222,LF
20,"Surface Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers",rs-means,Unit,190223,Ea
21,"Surface Mount Strip Fixtures:  grid suspension, 2-T8, 32 watt 4 ft. lamps, rapid start, acrylic prismatic diffusers",rs-means,Unit,190223,Ea
22,"High-bay Pendant Mount, 6-32W T8 2' x 4' fixtures, includes hardware",rs-means,Unit,190224,Ea
23,"High-bay Strip Mount Industrial type 2-32W T8 4' long fixtures, includes hardware",rs-means,Unit,190224,Ea
26,"Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers",rs-means,Unit,190225,Ea
27,"Pendant Mount, 4-54W T5HO 16"" x 4' fixtures, includes hardware",rs-means,Unit,190226,Ea
28,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-32 W T8, 1' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,190227,Ea
29,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-U32 W T8, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190228,Ea
30,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,190229,Ea
31,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 3-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,190230,Ea
32,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 4-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,190225,Ea
33,"Fluorescent fixture, interior, strip, surface mounted, RS, 2-32 W T8, 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190231,Ea
34,"Fluorescent fixture, interior, strip, surface mounted, S.L., 1-60 W T8, 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,190232,Ea
35,"Fluorescent fixture, interior, strip, surface mounted, S.L., 2-T8/60 W, 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,190233,Ea
36,"Fluorescent fixture, interior, strip, surface mounted, H.O., 2-54 W, T5HO, 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190234,Ea
